Name,Priority,Tags,Type
Wildly evolving plot,Medium,Wonderland,Restriction
Magic in the background,Medium,,Restriction
Matching causality scale,Medium,,Restriction
Don’t focus on James’ job,Low,,Restriction
Don’t get too technical with magic,Low,,Restriction
Forest arc restrictions,Low,,Restriction
Maximize isolation and society,Low,,Restriction
Minimal monster hunting,Low,,Restriction
Avoid moral contrasts between city and countryside,Low,,Restriction
Extended storytelling,High,,Restriction
No clever outwitting,Medium,,Restriction
No desperate trying to stop a big bad from appearing,Medium,,Restriction
Keep monsters in the background,Medium,,Restriction
Multiple types of monsters,Medium,,Restriction
Avoid sensational villainy,Medium,,Restriction
No primary villain,Medium,,Restriction
"Extended, fresh continuity",High,,Restriction
Don’t idolize marriage,Medium,,Restriction
Authentic portrayal of women,Medium,,Restriction
Minimal political intrigue,Medium,,
No personal contests,Medium,,Restriction
