Name,Verses,☑️ Features
"Rely on Jesus, not human wisdom",1 Corinthians 2:1-5,
Build houses,Jeremiah 29:5-6,Injected stability (../Features/Injected%20stability%2054190f7026bf4beb96bc5ef39de248ee.csv)
Jeremiah honoring captors,"Jeremiah 38:17-22
Jeremiah 39:11-12
Jeremiah 42:7-22",Submission to authority (../Features/Submission%20to%20authority%20c04c6c883dce4d98ac0fbe40efb805b6.csv)
Submit to authorities,Romans 13:1-3,Submission to authority (../Features/Submission%20to%20authority%20c04c6c883dce4d98ac0fbe40efb805b6.csv)
Jesus’ humility,Philippians 2:3-11,Condescension (../Features/Condescension%2067c614aebb6f4e749b434829a49bf624.csv)
Passover,Exodus 12:21-27,Cozy horror (../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.csv)
Rahab is spared,"Joshua 2:15-21
Joshua 6:17
Joshua 6:22-25",Cozy horror (../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.csv)
Lot’s house,Genesis 19:1-11,Cozy horror (../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.csv)
The Levite and his Concubine,Judges 19:10-21,"Cozy horror (../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.csv), Desperation (../Features/Desperation%203c8bb63bea1440cba5eb8b570cecec24.csv)"
Noah’s family in the Ark,Genesis 7,Cozy horror (../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.csv)
Houses on sand and rock,Matthew 7:24-27,Cozy horror (../Features/Cozy%20horror%20e5cc80dc61ed4c629951cdf472b20b7a.csv)
Abiding in the Vine,John 15:1-6,Dependency (../Features/Dependency%20f8d48d2c02f44f60a17266d67d4d045f.csv)
Bearing fruit,John 15:8,Depictions of virtue (../Features/Depictions%20of%20virtue%20d3f3b663de9446b0aff4183df49926e3.csv)
The woman at the well,John 4:19-24,"Worshipping God (../Features/Worshipping%20God%20428f9f34b232411fa91e301f42dec8cc.csv), Fire from the gods (../Features/Fire%20from%20the%20gods%20716ab685a22947019750d497c9b0c798.csv)"
Mothers eating their children,2 Kings 6:28-30,Desperation (../Features/Desperation%203c8bb63bea1440cba5eb8b570cecec24.csv)
Saul and the medium,Samuel 28:5-7,Desperation (../Features/Desperation%203c8bb63bea1440cba5eb8b570cecec24.csv)
Asa turns to Baasha,2 Chronicles 16:1-10,Desperation (../Features/Desperation%203c8bb63bea1440cba5eb8b570cecec24.csv)
Saul’s unlawful sacrifice,1 Samuel 13:8-14,Desperation (../Features/Desperation%203c8bb63bea1440cba5eb8b570cecec24.csv)
Cutting off the ear,Matthew 26:50-52,Desperation (../Features/Desperation%203c8bb63bea1440cba5eb8b570cecec24.csv)
