Name,Priority,Tags,Type
Authentic portrayal of women,Medium,,Restriction
Don’t idolize marriage,Medium,,Restriction
"Extended, fresh continuity",High,,Restriction
No primary villain,Medium,,Restriction
Avoid sensational villainy,Medium,,Restriction
Multiple types of monsters,Medium,,Restriction
Keep monsters in the background,Medium,,Restriction
No desperate trying to stop a big bad from appearing,Medium,,Restriction
No clever outwitting,Medium,,Restriction
Extended storytelling,High,,Restriction
Avoid moral contrasts between city and countryside,Low,,Restriction
Minimal monster hunting,Low,,Restriction
Maximize isolation and society,Low,,Restriction
Forest arc restrictions,Low,,Restriction
Don’t get too technical with magic,Low,,Restriction
Don’t focus on James’ job,Low,,Restriction
Matching causality scale,Medium,,Restriction
Magic in the background,Medium,,Restriction
Wildly evolving plot,Medium,Wonderland,Restriction
Minimal political intrigue,Medium,,
No personal contests,Medium,,Restriction
